"query","search interest","increase percent"
"cazo tailor bespok",8,"Breakout"
"besoke",0,"Breakout"
"bespoke suit",15,"50%"
"bespoke tailor",8,"30%"
"bespoke là gì",25,"20%"
"bespoke cocktail",3,"6%"
"bespoke",100,"-5%"
"bespoke tailoring",3,"-6%"
"bespoke meaning",4,"-30%"
