"query","search interest","increase percent"
"bespoke",100,"-5%"
"bespoke là gì",25,"20%"
"bespoke suit",15,"50%"
"bespoke tailor",8,"30%"
"cazo tailor bespok",8,"Breakout"
"bespoke meaning",4,"-30%"
"bespoke cocktail",3,"6%"
"bespoke tailoring",3,"-6%"
"besoke",0,"Breakout"
